,a,b
0,AAB,Average At Best
1,AAC,Apple Audio Compression
2,AAF,Always and Forever
3,AAK,Alive And Kicking
4,AAMOF,As A Matter Of Fact
5,AAP,Always A Pleasure
6,AAR,At Any Rate
7,AARP,American Association of Retired Persons
8,AAT,And Another Thing At All Times
9,AAWY,And Also With You
10,AAYF,"As Always, Your Friend"
11,ABC,American Born Chinese
12,ABD,Already Been Done
13,ABDC,America’s Best Dance Crew (TV show)
14,ABF,All But Face
15,ABFAB,Absolutely Fabulous
16,ABG,Asian Baby Girl
17,ABH,Actual Bodily Harm
18,ABP,Already Been Posted
19,ABU,Anyone but (Manchester) United
20,AC,Air Conditioning Alternating Current
21,ACLU,American Civil Liberties Union
22,ACME,A Company that Makes Everything
23,ACP,Automatic Colt Pistol
24,ACTA,Anti-Counterfeiting Trade Agreement
25,ACU,Army Combat Uniform
26,AD,Anno Domini (in the year of our Lord)
27,ADAD,Another Day Another Dollar
28,ADD,Attention Deficit Disorder
29,ADED,All Day Every Day
30,ADGTH,All Dogs Go To Heaven
31,ADHD,Attention Deficit Hyperactivity Disorder
32,ADL,All Day Long
33,ADN,Any Day Now
34,ADR,All Due Respect
35,ADS,Aim(ing) Down Sights
36,ADSL,Asymmetric Digital Subscriber Line
37,ADTR,A Day To Remember (band)
38,AE,American Eagle (clothing)
39,AEAE,And Ever And Ever
40,AEAP,As Early As Possible
41,AFAIA,As Far As I’m Aware
42,AFAIAA,As Far As I Am Aware
43,AFAIAC,As Far As I Am Concerned
44,AFAIC,As Far As I’m Concerned
45,AFAICS,As Far As I Can See
46,AFAICT,As Far As I Can Tell
47,AFAIK,As Far As I Know
48,AFAIR,As Far As I Remember
49,AFAP,As Far As Possible
50,AFC,Away From Computer
51,AFFA,"Angels Forever, Forever Angels"
52,AFI,A Fire Inside (Band)
53,AFK,Away From Keyboard
54,AFL,Australian Football League
55,AFN,All For Now
56,AFP,Away From Phone
57,AFRL,Away From Real Life
58,AFS,"Always, Forever and Seriously"
59,AGC,Automatic Gain Control
60,AGH,Ain’t Gonna Happen
61,AGM,Annual General Meeting
62,AGP,Accelerated Graphics Port
63,AGT,America’s Got Talent (TV show)
64,AGW,All Going Well
65,AI,Artificial Intelligence As If
66,AIB,Am I Boverd?
67,AIDS,Acquired Immune Deficiency Syndrome
68,AIGF,All In Good Fun
69,AIIC,As If I Care
70,AIKRN,All I know right now
71,AIMH,Always In My Heart
72,AINEC,And It’s Not Even Close
73,AIO,All In One
74,AISB,As I Said Before
75,AISI,As I See it
76,AITR,Adult In The Room
77,AITYD,And I Think You Do
78,AIUI,As I Understand it
79,AIYC,As If You Care
80,AJ,Apple Juice
81,AKTF,Always Keep the Faith
82,ALF,Animal Liberation Front
83,ALG,Ain’t Life Grand
84,ALIHAL,At Least I Have A Life
85,ALKQN,Almighty Latin King and Queen Nation
86,ALOL,Actually Laughing Out Loud
87,ALOTBSOL,Always Look On The Bright Side Of Life
88,ALU,Arithmetic Logic Unit
89,ALWP,Actual Laughter Was Produced
90,AM,Ante Meridiem (before midday) Amplitude Modulation (radio signal)
91,AMA,Ask Me Anything Against Medical Advice
92,AMAA,Ask Me Almost Anything
93,AMAP,As Much/Many As Possible
94,AMC,American Motors Corportation
95,AMD,Advanced Micro Devices
96,AMG,Ah My God
97,AML,All My Love
98,AMN,Any Minute Now
99,AMOF,As a Matter of Fact
100,AMOG,Alpha Male Of Group
101,AMT,Alpha-Methyltryptamine
102,AMV,Anime Music Video
103,AMW,America’s Most Wanted (TV show)
104,AN,Author’s Note
105,ANC,African National Congress
106,ANFAWFOS,And Now For A Word From Our Sponsor
107,ANFSCD,And Now For Something Completely Different
108,ANSI,American National Standards Institute
109,ANTM,America’s Next Top Model
110,ANZAC,Australian and New Zealand Army Corps
111,AO,Adults Only
112,AOB,Any Other Business
113,AOD,All Of Day
114,AOE,Area Of Effect
115,AOK,Age of Kings (game) All OK
116,AOM,Age of Mythology (game)
117,AON,All Or Nothing As Of Now
118,AOS,Ahead Of Schedule
119,AOT,As Opposed To Among Other Things
120,AOTA,All Of The Above
121,AOTS,Attack of the Show (TV show)
122,AOW,All Out War
123,AOYP,Angel on Your Pillow
124,AP,Associated Press
125,APB,All Points Bulletin
126,APC,Armoured Personnel Carrier
127,API,Application Programming Interface
128,APM,Actions Per Minute
129,APN,As Per Normal
130,APO,Authorized Personnel Only
131,APU,As Per Usual
132,APYR,As Per Your Request
133,AQ,Adventure Quest (game)
134,AQAP,As Quickly As Possible
135,AQF,"Ay Que Funny,"
136,AR,Assault Rifle
138,ARK,Act of Random Kindness
139,ARPA,Advanced Research Projects Agency (made early internet)
140,ARPANET,Advanced Research Projects Agency Network (early internet)
141,ARPU,Average Revenue Per User
142,ASAIC,As Soon As I Can
143,ASAIK,As Soon As I Know
144,ASAP,As Soon As Possible
145,ASAS,As Soon As Sensible
146,ASAT,As Simple As That
147,ASAYC,As Soon As You Can
148,ASBO,Anti Social Behaviour Order
149,ASCII,American Standard Code for Information Interchange
150,ASPCA,American Society for the Prevention of Cruelty to Animals
151,AT&T,American Telephone & Telegraph
152,ATA,Ait To Air Actual Time of Arrival
153,ATAP,"Any Time, Any Place"
154,ATB,All The Best
155,ATC,Air Traffic Control
156,ATD,Attention to Detail
157,ATEOTD,At The End Of The Day
158,ATF,All Time Favorite
159,ATGATT,All The Gear All The Time (motorcycling)
160,ATH,All Time High
161,ATM,At The Moment Automated Teller Machine (cash machine)
162,ATMO,According To My Opinion
163,ATN,Any Time Now
164,ATOY,Always Thinking of you
165,ATQ,Answer The Question
166,ATST,At The Same Time
167,ATT,At This Time All The Time
168,ATTT,Ain’t That The Truth
169,ATV,All Terrain Vehicle
170,ATVB,All The Very Best
171,ATW,All The Way
172,ATWA,"Air, Trees, Water, Animals  All The Way Alive"
173,BAC,Back At Computer Blood Alcohol Content By Any Chance
174,BACS,Bankers Automated Clearing System
175,BAGL,Bust A Gut Laughing
176,BAH,Bored As Hell
177,BB,Big Brother Be Back
178,BB4N,Bye-Bye For Now
179,BBAM,Be Back After Meal
180,BBB,Bugging Beyond Belief
181,BBBW,Big Beautiful Black Woman
182,BBC,British Broadcasting Corporation
183,BBEG,Big Bad Evil Guy
184,BBFL,Best Buds For Life
185,BBFN,Bye Bye For Now
186,BBG,Best Be Going
187,BBIAB,Be Back In A Bit
188,BBIAF,Be Back In A Few
189,BBIAM,Be Back In A Minute
190,BBIAS,Be Back In A Sec
191,BBIAW,Be Back In A While
192,BBK,Boy Better Know
193,BBL,Be Back Later
194,BBM,Blackberry Messaging
195,BBML,Be Back Much Later
196,BBN,Be Back Never
197,BBO,Being Bored Online
198,BBQ,Barbecue Better Be Quick
199,BBR,"Blonde, Brunette, Redhead"
200,BBS,Be Back Soon Bulletin Board System
201,BBT,Be Back Tomorrow
202,BBV,Brags Beats and Variance (poker)
203,BBW,Big Beautiful Woman
204,BBWL,Be Back Way Later
205,BC,Before Christ
206,BCBW,Bow Chica Bow Wow
207,BCC,Blind Carbon Copy
208,BCD,Behind Closed Doors
209,BCE,Before Common Era (like  )
210,BCF,Best Cousin Forever
211,BCG,Birth Control Glasses
